,question,answer,image_id,answer_idx,tokens,indexed
14,what is in front of the bed,night_stand,image1033,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'bed']","[1060, 510, 500, 400, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,what is to the left of the sofa,lamp,image488,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'sofa']","[1060, 510, 984, 966, 562, 643, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,what is around the table,chair,image467,-1,"['what', 'is', 'around', 'the', 'table']","[1060, 510, 31, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,what is to the right of cot,drawer,image79,-1,"['what', 'is', 'to', 'the', 'right', 'of', 'cot']","[1060, 510, 984, 966, 785, 643, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,what is on the wall,"picture, wall_decoration",image565,-1,"['what', 'is', 'on', 'the', 'wall']","[1060, 510, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,what is beneath the picture,sofa,image1271,-1,"['what', 'is', 'beneath', 'the', 'picture']","[1060, 510, 75, 966, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,what is the colour of the lamps,brown,image1110,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'lamps']","[1060, 510, 966, 211, 643, 966, 547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,what are the objects close to the wall above the counter,cabinet,image144,-1,"['what', 'are', 'the', 'objects', 'close', 'to', 'the', 'wall', 'above', 'the', 'counter']","[1060, 26, 966, 640, 196, 984, 966, 1049, 5, 966, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,how many chairs are there,10,image1404,-1,"['how', 'many', 'chairs', 'are', 'there']","[474, 588, 178, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,what is on table,computer,image557,-1,"['what', 'is', 'on', 'table']","[1060, 510, 646, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,what is on the floor in front of the toilet,floor_mat,image506,-1,"['what', 'is', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'toilet']","[1060, 510, 646, 966, 377, 500, 400, 643, 966, 987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,what is the object found behind the sink,mirror,image680,-1,"['what', 'is', 'the', 'object', 'found', 'behind', 'the', 'sink']","[1060, 510, 966, 639, 391, 70, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,what is on the table,"box, decorative_item",image1420,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,what is in front of the sofa,table,image588,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'sofa']","[1060, 510, 500, 400, 643, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,what is to the left of the book rack,table,image1217,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'book', 'rack']","[1060, 510, 984, 966, 562, 643, 966, 102, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10,-1,"['what', 'is', 'the', 'blue', 'object', 'that', 'is', 'in', 'front', 'of', 'the', 'counter', 'and', 'to', 'the', 'right', 'of', 'the', 'photocopying', 'machine']","[1060, 510, 966, 98, 639, 965, 510, 500, 400, 643, 966, 245, 15, 984, 966, 785, 643, 966, 699, 579]"
30,what are the things on the cabinet,"bottle, vase, decorative_item",image1392,-1,"['what', 'are', 'the', 'things', 'on', 'the', 'cabinet']","[1060, 26, 966, 971, 646, 966, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,what is the object close to the tissue rod,tissue,image705,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'tissue', 'rod']","[1060, 510, 966, 639, 196, 984, 966, 983, 789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,what are on the sofa,"pillow, remote_control",image1311,-1,"['what', 'are', 'on', 'the', 'sofa']","[1060, 26, 646, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,what is in between sofas,lamp,image379,-1,"['what', 'is', 'in', 'between', 'sofas']","[1060, 510, 500, 78, 874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,what is the object on the floor in front of the window,piano,image980,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 966, 639, 646, 966, 377, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0]"
35,what is in front of the shelves,table,image212,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'shelves']","[1060, 510, 500, 400, 643, 966, 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,what is behind the chair,bed,image531,-1,"['what', 'is', 'behind', 'the', 'chair']","[1060, 510, 70, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,what is stuck on the ceiling,fan,image1336,-1,"['what', 'is', 'stuck', 'on', 'the', 'ceiling']","[1060, 510, 925, 646, 966, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,what is in front of the bottle of hand wash liquid,shaver,image660,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'bottle', 'of', 'hand', 'wash', 'liquid']","[1060, 510, 500, 400, 643, 966, 110, 643, 435, 1053, 570, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,what is right of oven,sink,image559,-1,"['what', 'is', 'right', 'of', 'oven']","[1060, 510, 785, 643, 667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,what is the colour that is dominating on the poster board,yellow,image37,-1,"['what', 'is', 'the', 'colour', 'that', 'is', 'dominating', 'on', 'the', 'poster', 'board']","[1060, 510, 966, 211, 965, 510, 306, 646, 966, 741, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,what is behind the cpu,water_dispenser,image30,-1,"['what', 'is', 'behind', 'the', 'cpu']","[1060, 510, 70, 966, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,what is on the table,coffee_machine,image495,-1,"['what', 'is', 'on', 'the', 'table']","[1060, 510, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,what is on the refrigerator,"paper, magnet",image852,-1,"['what', 'is', 'on', 'the', 'refrigerator']","[1060, 510, 646, 966, 775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,what is found near the computer table,chair,image1170,-1,"['what', 'is', 'found', 'near', 'the', 'computer', 'table']","[1060, 510, 391, 623, 966, 219, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,what is on the floor in between the storage racks,basket,image1047,-1,"['what', 'is', 'on', 'the', 'floor', 'in', 'between', 'the', 'storage', 'racks']","[1060, 510, 646, 966, 377, 500, 78, 966, 918, 761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,what is on the sofa,bag,image1217,-1,"['what', 'is', 'on', 'the', 'sofa']","[1060, 510, 646, 966, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,how many monitors are there in the table,2,image528,-1,"['how', 'many', 'monitors', 'are', 'there', 'in', 'the', 'table']","[474, 588, 609, 26, 969, 500, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,what is on the left side of the paper,newspapers,image772,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'paper']","[1060, 510, 646, 966, 562, 854, 643, 966, 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,what is on the mattress in front of the wall,blanket,image65,-1,"['what', 'is', 'on', 'the', 'mattress', 'in', 'front', 'of', 'the', 'wall']","[1060, 510, 646, 966, 597, 500, 400, 643, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,what is on the bed,"pillow, rug",image64,-1,"['what', 'is', 'on', 'the', 'bed']","[1060, 510, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,what is the object on the window pane,plant,image736,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'window', 'pane']","[1060, 510, 966, 639, 646, 966, 1072, 679, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,what is to the left of the window,bookshelf,image1099,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'window']","[1060, 510, 984, 966, 562, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,what is in front of the dining table,cabinet,image1435,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'dining', 'table']","[1060, 510, 500, 400, 643, 966, 284, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,what is border colour of floor mat,brown,image780,-1,"['what', 'is', 'border', 'colour', 'of', 'floor', 'mat']","[1060, 510, 107, 211, 643, 377, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,how many containers are there,3,image872,-1,"['how', 'many', 'containers', 'are', 'there']","[474, 588, 227, 26, 969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,what is to the left of the computer,toy,image633,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'computer']","[1060, 510, 984, 966, 562, 643, 966, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,what is in front of the table,ornamental_plant,image464,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'table']","[1060, 510, 500, 400, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,what is found on the top of the table,photo,image1161,-1,"['what', 'is', 'found', 'on', 'the', 'top', 'of', 'the', 'table']","[1060, 510, 391, 646, 966, 993, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,what is in front of the window,sofa,image1269,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,what is in front of the person on the table,tissue_box,image589,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'person', 'on', 'the', 'table']","[1060, 510, 500, 400, 643, 966, 695, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,what is the colour of the pillow,red,image607,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'pillow']","[1060, 510, 966, 211, 643, 966, 712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,what objects are on the table,"tissue_box, book",image1274,-1,"['what', 'objects', 'are', 'on', 'the', 'table']","[1060, 640, 26, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,what is on the coffee table,vase,image1208,-1,"['what', 'is', 'on', 'the', 'coffee', 'table']","[1060, 510, 646, 966, 205, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,what is in front of the blinds,excercise_equipment,image1132,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'blinds']","[1060, 510, 500, 400, 643, 966, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,what is on the right side of the tap,bottle_of_hand_wash_liquid,image661,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'tap']","[1060, 510, 646, 966, 785, 854, 643, 966, 950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,what is on the right side of the cupboard,oven,image907,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'cupboard']","[1060, 510, 646, 966, 785, 854, 643, 966, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,what is on the right side of the cupboard,basket,image443,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'cupboard']","[1060, 510, 646, 966, 785, 854, 643, 966, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,what is on the left side of the sink,bottle_of_soap,image574,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'sink']","[1060, 510, 646, 966, 562, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,what is the object close to the towel rod,towel,image690,-1,"['what', 'is', 'the', 'object', 'close', 'to', 'the', 'towel', 'rod']","[1060, 510, 966, 639, 196, 984, 966, 998, 789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,what is at the right side,wardrobe,image1069,-1,"['what', 'is', 'at', 'the', 'right', 'side']","[1060, 510, 32, 966, 785, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,what is colour of the cutting board in the middle,green,image134,-1,"['what', 'is', 'colour', 'of', 'the', 'cutting', 'board', 'in', 'the', 'middle']","[1060, 510, 211, 643, 966, 268, 99, 500, 966, 603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,how many plastic toy containers are below the table in front of the wall,6,image292,-1,"['how', 'many', 'plastic', 'toy', 'containers', 'are', 'below', 'the', 'table', 'in', 'front', 'of', 'the', 'wall']","[474, 588, 724, 1000, 227, 26, 72, 966, 944, 500, 400, 643, 966, 1049, 0, 0, 0, 0, 0, 0]"
73,how many chair are,3,image545,-1,"['how', 'many', 'chair', 'are']","[474, 588, 177, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,what is behind the teacher,shelves,image319,-1,"['what', 'is', 'behind', 'the', 'teacher']","[1060, 510, 70, 966, 954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,what is under the piano,stool,image1306,-1,"['what', 'is', 'under', 'the', 'piano']","[1060, 510, 1025, 966, 702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,what is on the left side of the chair,table,image592,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'chair']","[1060, 510, 646, 966, 562, 854, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,what is the object on the table,pot,image605,-1,"['what', 'is', 'the', 'object', 'on', 'the', 'table']","[1060, 510, 966, 639, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,what are the things stuck on the refridgerator,photo,image835,-1,"['what', 'are', 'the', 'things', 'stuck', 'on', 'the', 'refridgerator']","[1060, 26, 966, 971, 925, 646, 966, 774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,what is the largest blue object in this picture,table,image276,-1,"['what', 'is', 'the', 'largest', 'blue', 'object', 'in', 'this', 'picture']","[1060, 510, 966, 554, 98, 639, 500, 974, 703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,what is above the tap,blinds,image771,-1,"['what', 'is', 'above', 'the', 'tap']","[1060, 510, 5, 966, 950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,what is on the end of the table,remote_control,image598,-1,"['what', 'is', 'on', 'the', 'end', 'of', 'the', 'table']","[1060, 510, 646, 966, 337, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,how many pictures are there on the wall,3,image588,-1,"['how', 'many', 'pictures', 'are', 'there', 'on', 'the', 'wall']","[474, 588, 704, 26, 969, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,what is on the left side of the plastic cover,remote_control,image792,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'plastic', 'cover']","[1060, 510, 646, 966, 562, 854, 643, 966, 724, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,what is the object in front of the window,chair,image40,-1,"['what', 'is', 'the', 'object', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 966, 639, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,what is on the left side of the the bath tub,toilet,image652,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'the', 'bath', 'tub']","[1060, 510, 646, 966, 562, 854, 643, 966, 966, 55, 1015, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,what is kept on the floor,garbage_bin,image703,-1,"['what', 'is', 'kept', 'on', 'the', 'floor']","[1060, 510, 526, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,what are found on the floor,"book, paper, shoe",image1071,-1,"['what', 'are', 'found', 'on', 'the', 'floor']","[1060, 26, 391, 646, 966, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,what is the colour of the book on the top,paper,image517,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'book', 'on', 'the', 'top']","[1060, 510, 966, 211, 643, 966, 102, 646, 966, 993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,what are the things found on the cabinet,"lamp, photo, books",image1183,-1,"['what', 'are', 'the', 'things', 'found', 'on', 'the', 'cabinet']","[1060, 26, 966, 971, 391, 646, 966, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,what is on the washing machine,clothing_detergent,image493,-1,"['what', 'is', 'on', 'the', 'washing', 'machine']","[1060, 510, 646, 966, 1054, 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,what is to the left of the table,wall,image344,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'table']","[1060, 510, 984, 966, 562, 643, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,what is in front of the door,trampoline,image436,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'door']","[1060, 510, 500, 400, 643, 966, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,how many knobs in wash basin cupboard,4,image729,-1,"['how', 'many', 'knobs', 'in', 'wash', 'basin', 'cupboard']","[474, 588, 541, 500, 1053, 50, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,what are the silver objects on the left side of the wine bottles on the kitchen counter,candlestick,image1435,-1,"['what', 'are', 'the', 'silver', 'objects', 'on', 'the', 'left', 'side', 'of', 'the', 'wine', 'bottles', 'on', 'the', 'kitchen', 'counter']","[1060, 26, 966, 859, 640, 646, 966, 562, 854, 643, 966, 1075, 111, 646, 966, 536, 245, 0, 0, 0]"
95,what is on the bed,toy_triangle,image446,-1,"['what', 'is', 'on', 'the', 'bed']","[1060, 510, 646, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,what is on the shelf,papers,image64,-1,"['what', 'is', 'on', 'the', 'shelf']","[1060, 510, 646, 966, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,what is to the left of the stove,knife_rack,image129,-1,"['what', 'is', 'to', 'the', 'left', 'of', 'the', 'stove']","[1060, 510, 984, 966, 562, 643, 966, 920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,what is hung on the wall,wall_decoration,image1019,-1,"['what', 'is', 'hung', 'on', 'the', 'wall']","[1060, 510, 475, 646, 966, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,what is the colour of the window cover,green,image930,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'window', 'cover']","[1060, 510, 966, 211, 643, 966, 1072, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,what is in front of the chair,cabinet,image1053,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'chair']","[1060, 510, 500, 400, 643, 966, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,what is the colour of the towel,white,image720,-1,"['what', 'is', 'the', 'colour', 'of', 'the', 'towel']","[1060, 510, 966, 211, 643, 966, 998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,what is on the right most side on the table,monitor,image829,-1,"['what', 'is', 'on', 'the', 'right', 'most', 'side', 'on', 'the', 'table']","[1060, 510, 646, 966, 785, 612, 854, 646, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,how many objects are there on the wall and on the left side of the window,3,image1390,-1,"['how', 'many', 'objects', 'are', 'there', 'on', 'the', 'wall', 'and', 'on', 'the', 'left', 'side', 'of', 'the', 'window']","[474, 588, 640, 26, 969, 646, 966, 1049, 15, 646, 966, 562, 854, 643, 966, 1072, 0, 0, 0, 0]"
104,what is the object to the left of the bed,cabinet,image1129,-1,"['what', 'is', 'the', 'object', 'to', 'the', 'left', 'of', 'the', 'bed']","[1060, 510, 966, 639, 984, 966, 562, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105,what is on the television,dvd_player,image1223,-1,"['what', 'is', 'on', 'the', 'television']","[1060, 510, 646, 966, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,what is on the right side of the bed,lamp,image1009,-1,"['what', 'is', 'on', 'the', 'right', 'side', 'of', 'the', 'bed']","[1060, 510, 646, 966, 785, 854, 643, 966, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,what is the object at the left side of the sink,towel,image693,-1,"['what', 'is', 'the', 'object', 'at', 'the', 'left', 'side', 'of', 'the', 'sink']","[1060, 510, 966, 639, 32, 966, 562, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,what is behind the table,chair,image1345,-1,"['what', 'is', 'behind', 'the', 'table']","[1060, 510, 70, 966, 944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109,what is on the pillow,toy_doll,image997,-1,"['what', 'is', 'on', 'the', 'pillow']","[1060, 510, 646, 966, 712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,what are the objects found below the storage rack,"kitchen_utensils, coffee_machine",image808,-1,"['what', 'are', 'the', 'objects', 'found', 'below', 'the', 'storage', 'rack']","[1060, 26, 966, 640, 391, 72, 966, 918, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,what is the largest object on the stool,lamp,image1116,-1,"['what', 'is', 'the', 'largest', 'object', 'on', 'the', 'stool']","[1060, 510, 966, 554, 639, 646, 966, 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,what is beneath the television,dvd_player,image1108,-1,"['what', 'is', 'beneath', 'the', 'television']","[1060, 510, 75, 966, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
113,what is on the left side of the sink,bottle_of_liquid,image762,-1,"['what', 'is', 'on', 'the', 'left', 'side', 'of', 'the', 'sink']","[1060, 510, 646, 966, 562, 854, 643, 966, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,what is in front of the window,fan,image604,-1,"['what', 'is', 'in', 'front', 'of', 'the', 'window']","[1060, 510, 500, 400, 643, 966, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,how many drawers are open,1,image819,-1,"['how', 'many', 'drawers', 'are', 'open']","[474, 588, 314, 26, 651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
